Period,TAS_SPD__APL_0.70|0.6|0,DEP_ALL__PVAL_5|4,LTV_30B_17__PVAL_3|5,LTV_30B_18__PVAL_3|5,LTV_30B_19__PVAL_5|5,MAS_SPD__PVAL_3|3,SUP_VID__PVAL_3|5,IRI_pctTD__PVAL_3|5#LAG_2,IRI_BAS_PRC_1500ML__RA_7,IRI_BAS_PRC_750ML__RA_5,HOL_CHR_NEW,HOL_LAB,HOL_MEM,HOL_MOT,HOL_NWY,HOL_THK,HOL_VAT,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_TRD_DESEA,IRI_WBR,IRI_pctAT,IRI_pctFD,IRI_pctTA,IRI_pctTF,SEA_IRI_CORE_1,WBR_TRD,Intercept,IRI_EVO
06/11/2016,211.95317422,0.87137998,0.0,0.0,0.0,0.49911307,0.0,0.0,70.14170835,79.79149961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07791506,0.05088744,9257.05815,60.82373468,55.748836,0.0,99.330756,0.446168,0.92036171,98.948672,1.0,838.154592
06/18/2016,291.41323885,0.93935806,0.0,0.0,0.0,0.69381266,0.0,0.0,70.23743431,80.0900792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0659528,0.05239335,9200.134515,59.06030139,46.518673,0.0,99.300608,0.0,0.95850522,99.204229,1.0,935.079763
06/25/2016,339.23948393,0.94466117,0.0,0.0,0.0,0.76976324,0.0,0.12968945,70.3825495,80.09320712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07552927,0.07407365,8797.592664,57.73956261,55.762425,0.0,99.395205,0.0,0.94420168,98.988811,1.0,906.885354
07/02/2016,385.80463494,0.93550387,0.0,0.0,0.0,0.77104769,0.0,0.18554799,70.44063351,80.41824053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07804615,0.05927823,9153.038387,57.57968438,58.094281,0.0,98.992598,2.530118,1.00168714,94.805002,1.0,919.32522
07/09/2016,451.88113942,0.90237697,0.0,0.0,0.0,0.68220659,0.0,0.17800194,70.46210587,80.31192905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06124086,0.05746323,9349.842378,63.0350527,55.74239,0.0,99.229629,0.0,0.9698277,97.602121,1.0,856.932802
07/16/2016,494.5145257,0.89784266,0.0,0.0,0.0,0.62716889,0.0,0.15182582,70.57202821,79.79938516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01132583,0.05426488,8744.833595,70.53782007,46.151945,0.034106,99.106317,0.523663,0.95492527,98.374786,1.0,828.105289
07/23/2016,522.95018951,0.89722202,0.0,0.0,0.0,0.59307264,0.0,0.14088045,70.93043745,79.70704541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00148877,0.04017945,8957.848508,78.6208323,46.93079,0.0,99.145526,0.446517,0.99717226,99.071472,1.0,814.020905
07/30/2016,542.25555528,0.89713706,0.0,0.0,0.0,0.57194976,0.0,0.14327256,71.16584864,79.43594749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00341994,0.02907804,8905.945236,75.19803085,50.55147,0.0,99.182574,0.0,0.95249449,97.329675,1.0,793.664828
08/06/2016,474.32908299,0.93398558,0.0,0.0,0.0,0.56741723,0.0,0.1532987,71.29193035,78.51985468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00083562,0.01251463,8982.996325,71.88227589,26.992483,0.0,99.171838,0.0,1.01106771,99.232896,1.0,807.139504
08/13/2016,407.02259117,0.94169643,0.0,0.0,0.0,0.56608204,0.0,0.1348613,71.41684814,79.03152434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00174832,0.08627751,9184.902827,55.19735342,14.289197,10.192188,99.028573,39.057788,0.98843645,98.467076,1.0,869.272095
08/20/2016,355.11723901,0.94232543,0.0,0.0,0.0,0.56527356,0.0,0.11021816,71.47171668,79.61835925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00302444,0.08358213,9130.523754,55.89939908,47.431733,0.0185,98.97711,0.435188,0.982336,99.358103,1.0,968.542262
08/27/2016,315.55245059,0.94237674,0.0,0.0,0.0,0.56478401,0.0,0.09648996,71.56050523,79.59634054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00264708,0.01377446,9424.308275,61.82211443,24.70479,0.0,98.975997,0.0,0.92093698,99.223272,1.0,841.1828
09/03/2016,284.65017487,0.94079176,0.0,0.0,0.0,0.59820137,0.0,0.11399813,71.69891786,79.92215311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00448308,0.00446985,9456.724657,59.19776717,22.219663,0.0,99.196461,0.0,0.96710352,99.550415,1.0,907.41001
09/10/2016,260.03633485,0.93846672,0.0,0.0,0.0,0.65589552,0.0,0.10958571,71.59952275,80.51208669,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01358009,0.00474439,9562.367597,69.78135814,15.568844,24.314954,99.340098,32.007945,0.93863852,99.400838,1.0,762.259983
09/17/2016,241.84078497,0.93826463,0.0,0.0,0.0,0.6848429,0.0,0.15734752,71.49344421,80.3064478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093377,0.00580722,9415.722377,72.19882369,34.644529,0.0,99.382972,0.0,0.95998001,99.24421,1.0,817.104633
09/24/2016,228.54178285,0.93824706,0.0,0.0,0.0,0.69936693,0.0,0.14570086,71.31530435,80.07678158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00214576,0.00907727,9866.01609,69.49094819,19.352288,0.124651,99.48606,1.102614,0.91709031,99.388179,1.0,755.564025
10/01/2016,237.3859751,0.94129391,0.0,0.0,0.0,0.70286168,0.0,0.14144573,71.08136054,79.96629721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00389698,0.01524499,9859.414538,67.65816228,18.2836,0.523316,99.389949,2.911287,0.9693863,99.466413,1.0,830.712206
10/08/2016,337.8318627,0.95685748,0.0,0.0,0.0,0.68097299,0.0,0.14592915,70.98819538,79.69443131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05577666,0.11892038,10013.06143,54.72715179,40.047278,6.062774,99.129485,0.0,1.01703655,99.243077,1.0,995.201786
10/15/2016,397.47391975,0.95780662,0.0,0.0,0.0,0.6689573,0.0,0.14583912,70.95523822,79.52087209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07884168,0.15860099,9899.464636,50.12759903,28.909483,31.180611,99.608499,32.4792,1.0582003,99.415819,1.0,1106.682205
10/22/2016,435.87467134,0.95786451,0.0,0.0,0.0,0.66236135,0.0,0.17003534,70.72210872,79.25422322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06795022,0.14126592,10209.56508,54.69283329,34.92418,5.281129,99.153804,0.532415,1.00725432,99.254179,1.0,1031.226788
10/29/2016,461.46041516,0.95786804,0.0,0.0,0.0,0.65874053,0.0,0.14540633,70.4756014,79.39689791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07214253,0.13997115,10075.96481,55.63837991,39.323518,3.558897,99.330964,0.375469,1.0707309,99.287436,1.0,1056.729642
11/05/2016,426.45537803,0.94268395,0.0,0.0,0.0,0.71562957,0.0,0.1443611,70.40772071,79.19183201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01824945,0.09148946,10053.72122,68.41968242,43.91273,0.0,99.008005,2.139568,0.95282389,99.515363,1.0,892.040962
11/12/2016,377.60532124,0.93375016,0.0,0.0,0.0,0.76024459,0.0,0.14722234,70.42737608,78.53045381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00690778,0.07847307,10055.04001,72.89767154,41.948376,0.0,98.694399,0.823406,0.96496722,99.443743,1.0,871.973552
11/19/2016,340.74306715,0.93291188,0.0,0.0,0.0,0.77906368,0.0,0.14410353,70.47239412,78.69010061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00797939,0.09160726,9985.527186,74.94667446,48.174721,0.009354,98.798294,0.384897,1.04372745,99.634732,1.0,931.786777
11/26/2016,313.27490774,0.93283322,0.0,0.0,0.0,0.78700177,0.0,0.14967207,70.45095563,78.96666407,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00040273,0.0523029,9896.396943,73.80244032,44.827218,0.0,99.701805,0.108258,1.41521458,99.667584,1.0,1255.078576
12/03/2016,299.8537194,0.95266619,0.0,0.0,0.0,0.80228835,0.0,0.14554078,70.33991989,79.05311509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00923167,0.02463939,9928.332488,71.76350365,25.901259,1.789128,98.984437,3.152918,0.97831611,99.491827,1.0,924.454887
12/10/2016,299.31919338,0.97114227,0.0,0.0,0.0,0.82277884,0.0,0.16312881,70.28209092,79.28632437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00185933,0.02751842,10058.28896,67.89152159,36.111268,0.0,99.341188,9.422145,1.013831,99.606404,1.0,933.622615
12/17/2016,298.94464623,0.97190826,0.0,0.0,0.0,0.83031687,0.0,0.15296439,70.09731119,80.28358254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00161877,0.01880505,10047.81677,71.79442424,27.057601,0.08749,99.74575,2.401747,1.10073872,99.548202,1.0,1041.985053
12/24/2016,298.68227698,0.97194002,0.0,0.0,0.0,0.83308995,0.0,0.14426486,69.94778143,80.09618801,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003979,0.00670157,10178.03276,67.23284808,27.610316,0.052729,99.794384,0.355986,1.40363868,99.794384,1.0,1354.815439
12/31/2016,298.49852705,0.97194134,0.0,0.0,0.0,0.83411011,0.0,0.16523751,69.76398702,79.62067444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00065849,0.00739671,10470.34002,76.21450411,29.252207,0.0,99.776107,0.618831,1.03902107,99.776107,1.0,822.536107
01/07/2017,381.24727533,0.93118874,0.0,0.0,0.0,0.67676642,0.0,0.17412024,69.49371157,79.29287042,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0444001,0.09647888,8763.011471,54.01663657,47.766785,30.984155,99.563282,32.410094,0.95309659,98.982788,1.0,922.311925
01/14/2017,437.59403402,0.92747197,0.0,0.0,0.0,0.56146891,0.0,0.19651458,69.28774662,79.20743566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0813303,0.13883945,8735.775709,56.3955869,46.63350286,26.55784714,99.524721,27.78008057,0.95025386,99.436193,1.0,1054.705241
01/21/2017,479.00184124,0.92752271,0.0,0.0,0.0,0.47550788,1.55e-06,0.17906532,69.18147775,78.9042968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10617574,0.16072319,9869.777151,50.14925642,45.50022071,22.13153929,99.565096,23.15006714,0.94741114,99.349422,1.0,1190.513306
01/28/2017,511.11638745,0.92795171,0.0,0.0,0.0,0.4100743,0.07617578,0.17318834,69.07678414,78.8403056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09450606,0.16185116,9426.160487,49.8559963,44.36693857,17.70523143,99.205897,18.52005371,0.94456842,98.76972,1.0,1127.981517
02/04/2017,537.16888542,0.92841575,1360479602.0817664,0.0,0.0,0.3590329,0.1922171,0.17107764,69.07793858,78.99380239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03677971,0.08614418,9276.967266,57.23947495,43.23365643,13.27892357,99.035858,13.89004029,0.94172569,99.222388,1.0,1035.994407
02/11/2017,559.15109875,0.92888027,458971109.77098125,0.0,0.0,0.31808925,0.43887391,0.17019292,68.96482371,79.05686884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02526996,0.05895415,9278.805783,58.46784144,42.10037429,8.85261571,99.39235,9.26002686,0.93888297,99.387956,1.0,950.411799
02/18/2017,578.3432527,0.92934186,153468595.5291693,0.0,0.0,0.28422181,0.18040579,0.16970732,68.79254316,79.08346767,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02453866,0.04431555,9371.576243,56.49043257,40.96709214,4.42630786,99.421228,4.63001343,0.93604024,99.305945,1.0,901.365335
02/25/2017,595.58961431,0.9298002,50763159.05681301,0.0,0.0,0.25529296,0.07325203,0.16935162,68.68740069,78.76140268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02408378,0.03394672,9242.334369,65.32427694,39.83381,0.0,98.765837,0.0,0.93319752,99.08194,1.0,814.05407
03/04/2017,588.80804923,0.96411041,26491541.49041113,0.0,0.0,0.23503638,0.0339209,0.16903814,68.54793913,78.33886625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02447487,0.03698468,9090.748849,60.91184452,52.663698,0.0,98.840858,0.0,0.96740707,98.982216,1.0,898.345347
03/11/2017,569.69414002,0.97932654,12027608.44317822,0.0,0.0,0.22095964,0.01788607,0.16873833,68.40133191,77.95316248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04347594,0.06341904,9179.552158,67.15531643,45.851773,0.0,98.942528,0.509049,0.96432712,99.050479,1.0,865.502091
03/18/2017,556.05620172,0.97978603,4424709.87270528,0.0,0.0,0.21050543,0.0123559,0.17932817,68.44356341,77.57001534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06133178,0.09926078,9472.472655,64.44766779,43.589039,0.0,98.714896,0.545213,0.93522862,99.094275,1.0,855.876695
03/25/2017,546.37552096,0.97979991,1627759.79531667,0.0,0.0,0.20274152,0.01499772,0.17052319,68.61711343,77.27190157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05819637,0.11620821,9305.059787,66.61912001,41.621813,0.0,99.113745,0.144374,0.92930145,99.338755,1.0,881.346088
04/01/2017,528.1135654,0.97328316,592727.25208827,0.0,0.0,0.20046227,0.00781512,0.17433102,68.80531079,77.91283798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07103207,0.10254144,9562.153269,62.54941848,38.358767,0.0,99.012301,0.0,1.02624074,99.418635,1.0,935.69958
04/08/2017,441.34546342,0.855576,125634.63318414,0.0,0.0,0.21942486,0.00287502,0.17112775,69.00377103,78.62235762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03463221,0.03419986,9058.546026,74.6659825,31.629187,0.0,99.134554,0.0,0.92768797,99.424148,1.0,787.487583
04/15/2017,373.1310742,0.83040754,46218.39864754,0.0,0.0,0.23308509,0.00105766,0.18673028,69.19440247,79.25806347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00921064,0.02560734,9497.619497,66.11650755,15.770933,0.411315,99.446579,2.172083,1.01223457,99.587604,1.0,960.599661
04/22/2017,319.95923676,0.82502595,17002.79866634,0.0,0.0,0.24292563,0.00038909,0.17138683,69.39511711,79.99600576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01419345,0.00708609,10477.5375,89.10767151,17.389925,0.0,89.926731,0.612308,0.96685995,99.243763,1.0,672.64426
04/29/2017,278.93370295,0.82387525,6254.9800717,0.0,0.0,0.25001453,0.00014314,0.16836374,69.45485877,80.51414601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01660197,0.01424403,8593.326395,75.26874769,18.480148,0.0,98.708632,0.0,0.93679733,99.519186,1.0,767.351239
05/06/2017,256.50584563,0.87833012,5051.58997856,0.0,0.0,0.29021294,5.266e-05,0.1571962,69.47030616,80.36777162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00819988,0.00963581,9422.09817,79.94153657,27.770448,0.0,99.272146,0.376778,0.88955447,99.465941,1.0,724.094617
05/13/2017,241.51906673,0.89318123,2063.29185006,0.0,0.0,0.32327146,1.937e-05,0.16110379,69.43197851,80.21828004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00754826,0.0192425,9659.396675,74.74715646,27.590007,0.0,99.026479,0.244406,0.92318998,99.498084,1.0,734.3954
05/20/2017,230.64888837,0.89524042,759.04265296,0.0,0.0,0.34578238,7.13e-06,0.17161046,69.25964107,80.16990542,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0112532,0.02125599,9290.216108,80.14229682,15.401187,0.506311,99.111184,3.371752,0.89987182,99.407955,1.0,746.453525
05/27/2017,222.83220513,0.89552593,279.23618691,0.0,0.0,0.36111102,2.62e-06,0.15907107,69.07141798,79.902232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01527416,0.01715607,9618.680374,73.65336828,25.658811,0.0,98.40769,0.0,0.94375755,99.251842,1.0,764.756297
06/03/2017,209.1669845,0.91648882,119.62158532,0.0,0.0,0.37249945,9.6e-07,0.15718307,68.8413195,79.52051837,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.00920109,0.01413171,9370.599514,84.09610184,22.045043,0.0,99.15376,0.0,0.88314619,99.293481,1.0,733.684104
06/10/2017,187.73832318,0.93974124,52.49488721,0.0,0.0,0.38149215,3.5e-07,0.15302831,68.5021194,79.3221184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05473768,0.07340145,9146.19363,72.45874479,46.659116,0.0,99.131911,0.0,0.92036171,98.761354,1.0,770.718637
06/17/2017,171.71417007,0.94165478,19.31179007,0.0,0.0,0.38759406,1.3e-07,0.14771578,68.1741975,79.13571425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07408872,0.08447765,9013.692292,77.95966056,40.176201,0.0,98.553203,0.0,0.95850522,99.443027,1.0,763.238451
06/24/2017,159.87775968,0.94181226,7.10441066,0.0,0.0,0.39173446,5e-08,0.12784116,67.811436,78.79877507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07303219,0.0706299,8304.914103,79.18085179,59.37986,0.0,98.929861,0.0,0.94420168,99.179896,1.0,765.750178
07/01/2017,154.29391116,0.93976172,2.54255655,0.0,0.0,0.39371794,2e-08,0.12067827,67.50219717,78.49451748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07604624,0.08164683,9035.873008,77.00230185,39.745875,0.0,98.591187,22.726562,1.00168714,99.302602,1.0,869.929138
07/08/2017,168.17211441,0.92553411,0.78558503,0.0,0.0,0.39009723,1e-08,0.13076703,67.17109853,78.41013309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0706015,0.08173336,9106.995901,75.97843882,61.224626,0.0,98.961822,13.428903,0.9698277,99.171863,1.0,822.973323
07/15/2017,177.44760106,0.92403971,0.28900062,0.0,0.0,0.38761687,0.0,0.12322345,66.93391019,78.04456265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07499256,0.12747154,9152.984215,64.2612736,51.690215,0.034106,99.21487,0.0,0.95492527,99.407657,1.0,900.97943
07/22/2017,183.75226599,0.92388274,0.10631719,0.0,0.0,0.38591771,0.0,0.12862169,66.67577582,78.02749604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0583247,0.13155754,9167.504134,75.3589455,45.27334,0.0,99.270005,3.694135,0.99717226,99.446942,1.0,895.325359
07/29/2017,188.08096034,0.92386625,0.0391117,0.0,0.0,0.3847537,0.0,0.14800233,66.76545944,78.07748352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04932065,0.12514995,9031.441446,63.03895712,62.71798,0.0,99.511496,0.48162,0.95249449,99.401409,1.0,880.13183
08/05/2017,230.0687275,0.92695485,0.00494329,0.0,0.0,0.32915688,0.0,0.14093388,66.84399105,78.43983993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04799733,0.11094907,8804.268704,57.53920372,51.086855,0.0,99.014051,2.320192,1.01106771,98.881882,1.0,920.575882
08/12/2017,270.05864725,0.9284617,0.00038209,0.0,0.0,0.26298315,0.0,0.13431647,66.79697542,78.53993825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01005253,0.0418029,8658.851611,65.46676439,48.248193,10.192188,99.056352,0.0,0.98843645,98.981789,1.0,840.323397
08/19/2017,295.83431302,0.92861105,0.00014057,0.0,0.0,0.21190686,0.0,0.15930732,66.68026527,78.71796754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01408553,0.03143795,8758.386885,69.99106825,35.700506,0.0185,99.119984,0.0,0.982336,99.292579,1.0,798.846362
08/26/2017,313.01745227,0.92862585,5.172e-05,0.0,0.0,0.17248353,0.0,0.16360604,66.72854398,78.3673894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01752105,0.02857568,8730.243212,74.3954056,31.235569,0.0,99.086019,1.683775,0.92093698,98.972709,1.0,748.669784
09/02/2017,309.63433467,0.9298116,8.806e-05,0.0,0.0,0.16917372,0.0,0.15491923,66.77570454,77.93832352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128118,0.03126439,8483.332134,73.52786902,35.227811,0.0,98.837667,0.0,0.96710352,99.209897,1.0,794.475397
09/09/2017,267.05413846,0.93279788,9.808e-05,0.0,0.0,0.23099736,0.0,0.1530553,66.96969895,77.44315194,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03173586,0.03768749,8835.860589,65.15484484,60.024519,24.314954,99.348325,6.099614,0.93863852,99.346299,1.0,884.666212
09/16/2017,234.33535359,0.93307703,3.588e-05,0.0,0.0,0.27364209,0.0,0.15319107,66.91846668,76.9324116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02251688,0.06787009,8791.0737,64.70223445,56.286885,0.0,99.189962,1.562413,0.95998001,99.157462,1.0,897.635427
09/23/2017,209.49352709,0.93310312,1.316e-05,0.0,0.0,0.30305758,0.0,0.15668941,66.88682887,76.68948275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02968328,0.06388981,8526.239785,62.6591492,66.488135,0.124651,99.173341,0.0,0.91709031,99.31797,1.0,875.448717
09/30/2017,190.86802005,0.93310556,4.78e-06,0.0,0.0,0.3233478,0.0,0.18162344,66.77066059,76.62977177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05480904,0.05019628,8558.64677,53.22779247,40.269691,0.523316,99.252617,19.22171,0.9693863,99.269063,1.0,903.731332
10/07/2017,217.30464022,0.95363533,2.73e-06,0.0,0.0,0.35874794,0.0,0.19347824,66.74784642,76.57087639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02979847,0.04320798,8566.354664,56.68717319,46.708501,6.062774,98.910853,0.586243,1.01703655,99.176163,1.0,844.136649
10/14/2017,234.5946343,0.95496545,9.1e-07,0.0,0.0,0.38237753,0.0,0.1706942,66.74125871,76.36851718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0405025,0.04471988,8507.256656,59.02655017,57.435856,31.180611,99.059388,2.840623,1.0582003,99.346166,1.0,889.25102
10/21/2017,246.20722326,0.95505163,0.0,0.0,0.0,0.39815027,0.0,0.18728088,66.80643897,76.47212465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02879347,0.04728389,8612.463278,62.07905455,29.596033,5.281129,99.210516,36.103609,1.00725432,98.937332,1.0,850.403372
10/28/2017,254.12302043,0.95505721,0.0,0.0,0.0,0.40867858,0.0,0.18890399,66.78648651,76.4194623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02713916,0.03551911,8593.576389,53.8168793,38.78389,3.558897,99.214938,1.311785,1.0707309,99.06176,1.0,917.043663
11/04/2017,267.82750708,0.94804153,0.0,0.0,0.0,0.40708165,0.0,0.18136464,66.69814266,76.27507275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01160103,0.03879631,8732.966818,61.94573073,40.278707,0.0,98.723541,0.0,0.95282389,99.376199,1.0,821.500614
11/11/2017,283.09862418,0.94148374,0.0,0.0,0.0,0.39943612,0.0,0.19957717,66.71124024,76.1293075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00786593,0.03599417,8539.459216,64.0198581,37.252389,0.0,98.992543,0.0,0.96496722,99.338968,1.0,874.599672
11/18/2017,293.46890425,0.94093608,0.0,0.0,0.0,0.39420018,0.0,0.16920224,66.70727297,76.07756951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02001708,0.03192991,8775.226168,59.38880498,43.227475,0.009354,98.952422,1.178056,1.04372745,99.500834,1.0,934.15859
11/25/2017,300.58489267,0.94089034,0.0,0.0,0.0,0.39061441,0.0,0.16116396,66.66154939,75.82964212,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01760443,0.03603788,8563.270791,54.28382354,59.337326,0.0,99.442581,3.170681,1.41521458,99.590129,1.0,1328.608633
