Period,Geography,TAS_SPD__APL_0.70|0.6|0,DEP_ALL__PVAL_3|3,LTV_30B_17__PVAL_3|5,LTV_30B_18__PVAL_3|5,LTV_30B_19__PVAL_3|5,MAS_SPD__PVAL_3|3,SUP_VID__PVAL_3|5,IRI_pctTD__PVAL_5|3#LAG_2,IRI_BAS_PRC_1500ML__RA_7,IRI_BAS_PRC_750ML__RA_5,HOL_CHR_NEW,HOL_LAB,HOL_MEM,HOL_MOT,HOL_NWY,HOL_THK,HOL_VAT,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_TRD_DESEA,IRI_WBR,IRI_pctAT,IRI_pctFD,IRI_pctTA,IRI_pctTF,SEA_IRI_CORE_1,WBR_TRD,Intercept,Predicted,IRI_EVO
06/11/2016,Total,60.705022538446215,1267.2991811665804,0.0,0.0,0.0,148.89434097186552,0.0,0.0,-1319.2482284743317,-1455.4869450008946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.9010351202792,1286.2514561591454,4811.375517651207,100.29557707151741,3076.5424016232982,92.56995483946818,4280.233392124091,649.868369423393,18582.13198882668,-281.4773450623721,2159.8394053287566,34658.69512430713,35444.880256000004
06/18/2016,Total,83.66052418005596,1673.9212743816115,0.0,0.0,0.0,186.84720969882696,0.0,0.0,-1325.7941815949227,-1461.8986627897214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1365.1947601985835,1231.6305675734948,4806.27755869079,106.00220783833359,3251.0971958475284,91.57096751621057,4160.213507643491,628.1031760720742,18725.112527758964,-284.7419411044793,2159.8394053287566,35397.0360972396,36555.261371
06/25/2016,Total,97.60056060359652,1846.6043301800578,0.0,0.0,0.0,199.75561319655444,0.0,1683.8188567284128,-1328.5164458377042,-1465.9280600205868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360.5052312951639,731.5003394274547,4832.9046890154095,100.02304681164723,3044.7424367023614,237.72809880279354,4156.959571672745,908.2923319114959,18318.132447309385,-284.68177223296965,2159.8394053287566,36599.28068089457,35256.490842
07/02/2016,Total,111.16620945201642,1895.4549115179548,0.0,0.0,0.0,195.93378770771875,0.0,2304.549480561705,-1326.302260828702,-1468.1404718313274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1229.318634786227,579.3495738443485,4796.9818885984805,109.453504762763,3114.5034658908853,327.0502044419971,4316.872886740719,1193.8864710231903,19640.132510292922,-285.60051526310326,2159.8394053287566,38894.44968702655,36976.117449
07/09/2016,Total,130.28777987468473,1841.1819888597488,0.0,0.0,0.0,165.96540885509552,0.0,2634.6915921881596,-1330.4843218569522,-1474.5746693486667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.3492579612944,778.5190263828283,4840.090049803638,104.91232782684529,2951.8406763485614,215.34133768663412,4334.987186879765,1337.609705479661,18594.36879326487,-285.9776806201394,2159.8394053287566,38110.947864914786,35708.283753
07/16/2016,Total,142.75093584059667,1821.1977724626179,0.0,0.0,0.0,152.75387748122347,0.0,2846.954412059767,-1336.0570833129195,-1483.0770544559327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.5281376899898,1855.8310786577495,4883.441836552767,95.75898458663973,3240.9795203019244,361.9862372502635,4337.175967394203,1693.4081686766222,19797.23846873128,-286.0340709463328,2159.8394053287566,41116.67659429921,39570.577206999995
07/23/2016,Total,151.15523856699355,1811.8001364257284,0.0,0.0,0.0,146.12528206250656,0.0,2862.5250759267806,-1334.0544880797243,-1484.9581629629688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801.1993262349249,821.9603038356192,4965.908139196411,103.1160272998703,2854.747788748124,80.67151745563481,4335.119013061713,810.8002230460258,19726.01498009806,-285.9083493513397,2159.8394053287566,38526.06145689312,36964.478767
07/30/2016,Total,156.93063232935114,1807.0103726117052,0.0,0.0,0.0,142.47245090617216,0.0,3077.808244740653,-1331.5576623687648,-1484.8675703914432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1327.7720505712264,689.1906242169429,4926.078117067301,97.23880286489127,3216.2341851435895,591.689669774878,4336.931938926926,2860.0176996964046,19420.435255117685,-286.0742801415713,2159.8394053287566,41707.14993639471,39120.475049
08/06/2016,Total,137.87707414392128,1897.1290019882356,0.0,0.0,0.0,143.04944087365084,0.0,3108.7324502675037,-1330.089632727538,-1484.8196690271336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865.047698141758,796.7569095724892,4912.630363642021,108.260290512991,2342.495199187892,120.05482704890944,4328.064280108387,1062.2095155131328,19179.728038730733,-286.11221922403683,2159.8394053287566,38060.852974081674,36915.171818
08/13/2016,Total,118.87573234093874,1943.7295775683874,0.0,0.0,0.0,143.42515047627646,0.0,3122.541801238106,-1331.0082806268688,-1483.681480950023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.903933596434,720.4978920527324,4989.6839405044775,104.49249970847576,2390.171290543735,110.03664757435052,4326.475510121632,877.1501771256067,19387.140186621524,-285.72106981941806,2159.8394053287566,38060.552913405125,36383.300145
08/20/2016,Total,104.13827496701924,1963.4416576341525,0.0,0.0,0.0,143.4630473577926,0.0,2987.006054292028,-1330.510338453139,-1482.3431618046914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.7116027887205,609.8004048549802,4881.3582648209,105.57130623833382,2500.06082646994,60.10073932514294,4333.114122670691,525.2160896447481,18928.724025065374,-286.1424416165311,2159.8394053287566,36728.549879584214,36058.730771
08/27/2016,Total,92.82996854442484,1972.4586516753777,0.0,0.0,0.0,143.43329134206056,0.0,2915.971224507405,-1331.2150728236466,-1479.0158026471127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.66621818168073,837.7748274056657,4978.437128474379,115.3420014878889,2641.651996945026,230.98674808662685,4329.935872715474,771.8417629830574,18989.787425122733,-286.22297712160156,2159.8394053287566,37539.502670208196,37013.953742
09/03/2016,Total,83.9356392619534,1972.1142265515364,0.0,0.0,0.0,153.68058859584758,0.0,2855.8590795545556,-1331.3442656318311,-1476.2306450688402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.6301520442115,1239.419993478602,4943.342997940183,100.89133556771448,2797.1849685584925,243.06198175622166,4334.084133583534,2244.575050397309,20214.795975546633,-286.2031611331803,2159.8394053287566,41199.6374563317,39308.066724
09/10/2016,Total,76.80153202317747,1966.2362854659275,0.0,0.0,0.0,169.34721023867897,0.0,2818.2973716834194,-1331.2131215652294,-1473.3614487261693,0.0,225.49820215528206,0.0,0.0,0.0,0.0,0.0,790.9739711912068,1602.7019324857429,4857.280783355318,108.55999223702241,3078.234327358269,118.1560144523535,4336.099016154868,1069.6218250397865,19837.698264878374,-285.99143020641554,2159.8394053287566,40124.78013355037,37015.493754999996
09/17/2016,Total,71.47488940406876,1964.0700869075336,0.0,0.0,0.0,175.23410674402186,0.0,2793.24857101697,-1331.4057285903114,-1471.4605506414043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.4615573823488,1791.5763700599002,4680.883419390039,93.58203933236696,3775.561489693334,735.8873646770513,4336.0878385976985,2419.087681466185,20413.085766658955,-286.1224583906213,2159.8394053287566,43332.09184903689,40251.539598
09/24/2016,Total,67.53652023688076,1963.104116758266,0.0,0.0,0.0,177.78580237331005,0.0,2948.3682816808464,-1330.3004754173483,-1470.6708436279923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.9503126562787,1613.8147588899783,4896.027404708033,96.29271514825814,3572.2247292700054,57.68008870586141,4335.680093797661,831.3351356706432,19222.56862541514,-286.06413156768656,2159.8394053287566,39722.17254002689,38765.075163
10/01/2016,Total,69.86141164406351,1971.2528221656867,0.0,0.0,0.0,177.8142321697071,0.0,3125.012827173153,-1326.7893823239012,-1469.7337616253149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.4368892349585,2102.393404282088,4979.247926361454,87.74725494136604,3632.85763850274,509.7695578926771,4339.3050401877645,3417.4452850564016,20942.83225351833,-286.164840115751,2159.8394053287566,45454.12796439418,45328.223869
10/08/2016,Total,98.20993697243247,2022.1133708314142,0.0,0.0,0.0,170.57156777792403,0.0,3283.983070402733,-1322.0186532235953,-1466.9152636068975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1573.0561184104504,1278.5090292280693,5124.866642416314,95.69134533648551,3651.062831132931,237.60602842186955,4333.269658698648,1410.096242695331,20281.607357518176,-286.06315300085754,2159.8394053287566,42645.48553534019,41948.031556
10/15/2016,Total,115.23159275135495,2040.172208881569,0.0,0.0,0.0,167.78715708132276,0.0,3381.600020494814,-1317.620282285589,-1463.8038959493097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1409.3801505400256,1172.8680627526842,5040.170772772578,103.07345314940794,3670.602449655146,264.9563271329281,4336.380566392347,1502.270929908551,19875.7883346069,-286.08581602222995,2159.8394053287566,42172.61143719126,40012.159395
10/22/2016,Total,126.30056007638389,2047.719475008637,0.0,0.0,0.0,166.54199875265712,0.0,3212.62640484761,-1312.728646519271,-1460.989535656197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1328.4244978415395,967.5400313940254,4909.19171477782,94.04308275734734,3604.7563339605954,137.3410319752113,4337.994074286546,1071.4361250810016,20438.162172710294,-286.1008063957918,2159.8394053287566,41542.09792022717,40393.807042
10/29/2016,Total,133.7513529324932,2050.9780036796847,0.0,0.0,0.0,165.927573285923,0.0,3239.2916396553524,-1310.4514499885167,-1458.1235784064536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1239.6347601669704,978.6861638961523,5060.7325814509095,93.13878800115336,3145.3377322259817,657.285136957253,4339.24587741355,2533.9198973925786,21648.01238268012,-286.1854699597783,2159.8394053287566,44391.02079671213,42532.060944
11/05/2016,Total,123.98297671707768,2006.5125441869332,0.0,0.0,0.0,183.38860044766807,0.0,3313.606861067094,-1306.9893659141073,-1456.4545303827529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.4502371371348,1391.9116459109882,5009.934581455032,92.99312661372284,3514.6057183469657,358.02001647958235,4336.898689354997,952.3577305914866,21263.822589806303,-286.1595119465437,2159.8394053287566,43130.72131520034,42367.92684
11/12/2016,Total,110.20745033869257,1969.0870133929373,0.0,0.0,0.0,194.60299490255758,0.0,3203.8954709257077,-1303.1510293451686,-1454.7952068276848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173.4504475826427,1330.3254873147057,4968.757076287808,96.27605994993948,3451.002901847768,261.5698619750278,4334.816632537582,1398.2155091741693,21610.58096024479,-286.20401935555265,2159.8394053287566,43218.47701627468,41810.596442
11/19/2016,Total,99.74845214036624,1953.3889331005726,0.0,0.0,0.0,198.29456552746018,0.0,3151.1485472326895,-1300.098719572191,-1454.1403490947025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045.2428965127824,1227.4966787713925,4989.078338977444,103.3388049073065,3256.2726822516224,143.01419545376984,4338.323361662908,900.9859489320709,23851.592076327055,-286.5610793527744,2159.8394053287566,44376.96473910653,46627.49061600001
11/26/2016,Total,91.89895701296271,1946.0372930383865,0.0,0.0,0.0,199.66951775866647,0.0,3250.078377642004,-1296.3191564839842,-1451.1294754130104,0.0,0.0,0.0,0.0,0.0,3478.215707945812,0.0,663.9053356761136,1229.833526997588,4968.541981048707,94.51720076398637,3150.0030767795506,205.23152991824645,4340.960350535202,1141.7971818120216,24904.588448279283,-286.2510080268296,2159.8394053287566,48791.41825061345,48923.940082
12/03/2016,Total,87.99461615558567,2000.9431898316147,0.0,0.0,0.0,203.91409781707077,0.0,3425.2368233556613,-1291.8672567834594,-1445.9421898417004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.478299663097,1209.528560773433,5001.0657668395925,105.36886090612185,2924.6146490275655,270.82897973952146,4334.189038222757,1201.5516479638181,20453.708219090582,-286.0561552487381,2159.8394053287566,41110.39655284128,40365.645409000004
12/10/2016,Total,87.73486591742177,2084.356518433914,0.0,0.0,0.0,209.6387357022442,0.0,3458.0457067161506,-1288.75714638558,-1440.2797991007449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.3831787851447,1367.3030683202487,4992.375808917799,92.18070831562643,2792.401958106468,725.0690293868865,4337.237940167742,3069.283610076199,23380.28189359331,-286.2917151282424,2159.8394053287566,46717.80376715334,45404.874406999996
12/17/2016,Total,87.54267584770213,2112.4976051306635,0.0,0.0,0.0,211.2147529730963,0.0,3390.1002336371334,-1289.237628047278,-1436.8432883349547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.8459993868679,1728.8651782937438,4982.200478186677,93.15410693313108,3482.2821667343906,300.7852211948079,4341.73286310128,1681.6843759141886,23450.548233826034,-286.4780718694003,2159.8394053287566,45756.73430823683,48149.157841
12/24/2016,Total,87.3998835977862,2123.3248634141673,0.0,0.0,0.0,211.71240752188172,0.0,3319.7340412744734,-1289.922912364695,-1434.5680829896137,5624.104117284261,0.0,0.0,0.0,0.0,0.0,0.0,621.2649057897787,1627.069828395496,5089.694387751435,92.52635319143761,3632.6161270144726,237.011409993434,4347.17619066642,875.4119378900281,27063.49758086991,-286.78266331338955,2159.8394053287566,54101.10978131604,55442.408497
12/31/2016,Total,87.29330019467595,2127.589787226624,0.0,0.0,0.0,211.88156508148745,0.0,3371.1680077236147,-1293.7185480545013,-1432.3082838843288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.2245741049187,1579.6699041544061,5106.109224748989,90.83327927711046,3751.2476327514823,67.5834873172972,4347.566571769718,1072.3417132062873,22360.802756933474,-286.77121391849306,2159.8394053287566,43787.35316396151,42050.718918
01/07/2017,Total,110.72924142336937,2006.65915781002,0.0,0.0,0.0,156.72379061651833,0.0,3503.4445340396883,-1296.6401388577976,-1430.0542986872395,0.0,0.0,0.0,0.0,112.00501990064568,0.0,0.0,904.117753295804,1974.754927930042,4639.710004009189,84.57358395119331,2812.0366447650144,1035.1409773280318,4333.909527312149,4235.155906615854,22644.906523448364,-285.89721171557227,2159.8394053287566,47701.11534851403,45294.539130000005
01/14/2017,Total,126.84523922012457,1959.1723395194572,0.0,0.0,0.0,126.60836653939813,0.0,3730.97675778919,-1301.452161195322,-1427.5243221115513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,978.6324376951849,2137.179291229637,4904.716816487612,89.64848324541883,2740.0038888345307,915.4570101577372,4332.599553131232,3799.078012936161,22714.429709837477,-286.134143287268,2159.8394053287566,47700.07668535778,46393.546912
01/21/2017,Total,138.78638573255276,1937.9282417401014,0.0,0.0,0.0,107.75509028607672,0.0032877220325029204,3618.2756954745546,-1304.454911675919,-1426.7198327928106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091.5264681277463,2152.1475805839614,4915.5289670548045,81.8798460944082,2667.9711327663863,795.7730431090766,4335.17934901797,3363.000119016698,22783.95284328768,-285.94752817669394,2159.8394053287566,47132.425182697385,47986.486134
01/28/2017,Total,148.11222328634418,1928.5718179060602,0.0,0.0,0.0,94.58627200642331,151.6869980553323,3598.3239667178077,-1306.9939855819853,-1424.4049627918605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1062.733773933539,1660.6698254926832,4843.751711763199,79.42385277119774,2595.9383768359035,676.0890759387818,4330.69632520971,2926.9222253370053,22853.476057096286,-285.97240199356236,2159.8394053287566,46093.450557311626,49905.518002000004
02/04/2017,Total,155.72007804368934,1924.9384954927077,4753.46251859181,0.0,0.0,84.6025958699413,347.7524708098043,3615.515814896792,-1308.3087505142173,-1420.2940108819012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1664.0668375619143,1490.938660635601,4889.4725623442155,80.74276928426221,2523.90562075216,556.4051089629355,4330.060313431751,2490.844331087315,22922.999213415722,-286.02459606457535,2159.8394053287566,50976.63943904868,51688.28504
02/11/2017,Total,162.1658992617234,1924.1080715800304,1603.6271062605201,0.0,0.0,76.54544049275125,663.5914038707979,3648.813044683507,-1310.247886392422,-1419.8171125798904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.0993615339905,1554.4929723895846,4989.396590577498,90.74604641114865,2451.8728648216766,436.72114179264065,4337.265338725251,2054.7664374076217,22992.522389804933,-286.1670216148934,2159.8394053287566,46713.34149435523,47829.812563
02/18/2017,Total,167.80894001096868,1924.656577860246,536.2132703147935,0.0,0.0,69.70612849339449,278.86793012837325,3688.997136948651,-1311.5500236599473,-1424.1936681865286,0.0,0.0,0.0,0.0,0.0,0.0,4755.518154978281,461.5706874665623,1824.841182207577,4955.291584556202,82.5697720943617,2379.840108753532,317.0371747439801,4334.419832591117,1618.6885434881588,23062.045586420652,-286.06532570505107,2159.8394053287566,49596.102998834074,49663.73321200001
02/25/2017,Total,172.88748907328463,1925.8825095676686,177.36449229569013,0.0,0.0,63.647848231375804,116.39853223047254,3731.3415372788213,-1315.1357642811502,-1428.4957936093278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.0028327740588,1053.7679706041417,4876.823005735397,92.83451697580503,2307.8073528230493,197.35320757368527,4329.126631501866,1182.6106498084653,23131.56876320198,-285.94778974482193,2159.8394053287566,43055.67739736921,43132.777345999995
03/04/2017,Total,171.12883159427918,2034.7997270066091,92.56040983025396,0.0,0.0,59.92913764579129,57.214232614293245,3773.135645689405,-1316.837213483713,-1430.5705500576255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665.830027552525,977.0078414608579,4898.235966132959,102.94061932514707,2576.903915408001,303.25811940332215,4333.408222488143,1654.0915235861132,22552.153313046823,-285.98050628865093,2159.8394053287566,43379.048668283285,41948.001234999996
03/11/2017,Total,165.82411517608642,2131.735892227372,42.02399347661078,0.0,0.0,57.59954531965509,32.33117257997402,3812.7280586207994,-1316.7801959691578,-1433.8251797359744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.0676473329514,677.4983831419999,4942.580439627246,98.2675771568543,2783.8892942050197,20.93012604087057,4325.850158353981,401.9631871786721,21695.700720261266,-286.03543686185424,2159.8394053287566,41073.18890346112,40571.20581500001
03/18/2017,Total,162.01917733586924,2163.1226844860716,15.45976323596766,0.0,0.0,55.871486511286065,23.99423520117786,3647.0384438974406,-1319.6819023995865,-1436.2773708402983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,851.1027181589421,707.7668927268217,4894.8102622029965,95.50484920787403,2747.332807989489,147.52139658106094,4319.012824280939,460.10415484268293,21519.89029570782,-286.05622350297256,2159.8394053287566,40928.375900952335,40532.50279800001
03/25/2017,Total,159.30249385037314,2174.3812112371943,5.6873290598906845,0.0,0.0,54.59531297974207,30.666261346245445,3444.0220194510007,-1322.7410532240808,-1439.079193330336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.312025470125,668.8525218487057,4926.968920217882,100.12795198075791,2682.9600433379983,34.56547815125543,4321.661544520994,560.3651399878994,20859.39440275587,-286.12427080783874,2159.8394053287566,39933.75754416243,39572.407044
04/01/2017,Total,154.13279544935006,2149.6665713287643,2.0709658360464096,0.0,0.0,54.84852573869106,16.104152641591313,3340.0967616297276,-1324.3356144313962,-1440.140507599652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1376.4922112982322,680.0196104771888,4965.961434384198,92.01776452968905,3191.282977624549,521.7409179255736,4331.598355898983,2101.352248796016,21657.9550824352,-286.0969357309456,2159.8394053287566,43744.60672356056,42305.851589000005
04/08/2017,Total,129.5445427669293,1874.3442940222715,0.43896249452333086,0.0,0.0,61.81991106296286,5.9243846327483745,3485.7184669038015,-1325.9180575330447,-1441.8431245610755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.6052702477234,639.0306293129605,4908.651772272024,106.51748885529426,2375.9659160502815,355.7203743680978,4325.203627147893,1118.8816625045424,20582.947701460715,-286.022667402632,2159.8394053287566,39863.37055993477,39012.564465
04/15/2017,Total,110.10398208897888,1741.7776564548976,0.1614852771804473,0.0,0.0,65.75005791427112,2.1794587278945468,3520.3361088503825,-1326.595770671765,-1444.0414682300798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.3312995179461,922.9315852600864,5028.095348065437,104.97291172532022,2350.3274243488627,297.7547772688673,4331.737361722395,1314.6271938643363,21905.28379821729,-286.2176452945574,2159.8394053287566,41665.3549704365,42355.383890000005
04/22/2017,Total,94.85185627915355,1668.7894152492152,0.059407113526728283,0.0,0.0,68.13294564911394,0.8017783115623478,3576.65788994182,-1327.4923979981236,-1447.0442127134875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.5183683254579,619.6800715256812,5170.112668702205,102.6846364223617,1845.1979934903807,239.2621551398382,4317.866558521891,1406.432172308494,21044.890935244963,-286.0235521053284,2159.8394053287566,40222.21809473748,37683.997332000006
04/29/2017,Total,82.9951098731475,1626.5933367299579,0.021854655725804015,0.0,0.0,69.65572723216405,0.2949586173603314,3544.4508404409335,-1329.6021710045877,-1448.170746295915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.753364101678,463.2242742868842,4704.616091351173,107.44522908000624,2267.001738403915,356.3001814008311,4328.405026394172,886.5342640447402,20081.449718230317,-286.08776935382707,2159.8394053287566,38431.72043351743,36658.292735
05/06/2017,Total,76.36341482530872,1707.5520229135218,0.017650057807157258,0.0,0.0,81.89279925933745,0.10851010469651433,3516.5325445344033,-1329.7843520270121,-1447.9124763929908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.8904804848473,761.0559950253521,4999.003789001158,114.37874595696772,2678.6657078834505,166.70905253151363,4330.1501247538245,841.4735294681353,19518.294347194962,-285.97829800068223,2159.8394053287566,38624.252992903355,36572.587369
05/13/2017,Total,71.8469122950263,1753.1372206692672,0.007209061024589382,0.0,0.0,90.1580303558871,0.03991670459270516,3371.0883048652076,-1329.8739546777563,-1447.3155291601377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1119.074406101336,991.3113720619515,4977.712565816912,103.26485094640945,2675.7782082850244,199.48728819294783,4332.324445168794,1046.4480892900488,19605.716035023754,-286.179114887339,2159.8394053287566,39433.86566144171,38021.564227
05/20/2017,Total,68.51890504603456,1773.788663296311,0.002652065341592616,0.0,0.0,94.83451958030639,0.01468760979706306,3314.42734315309,-1330.7807262125234,-1446.4131772327314,0.0,0.0,0.0,186.02409640265412,0.0,0.0,0.0,1188.0796152024502,1346.5660759701163,5010.804686744353,107.13812459262272,2482.6878798240214,220.42680272478626,4331.082772816518,1448.774777509007,19177.15746632456,-285.9740889596524,2159.8394053287566,39847.00048178581,37676.025159
05/27/2017,Total,66.08203292662017,1784.2669339712015,0.0009756403158188255,0.0,0.0,97.66775537915936,0.005402482846734674,3322.1699091719292,-1329.1684757051914,-1447.0936537142966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1266.1912651746518,657.585981418805,4997.375932489541,110.43607367346749,2743.7309303284073,253.89956005138475,4328.876550677203,1148.0986645261346,19852.70077667083,-286.13609946339614,2159.8394053287566,39726.52992102837,37176.278805
06/03/2017,Total,62.02748156535084,1839.5641240050322,0.0004179531409216758,0.0,0.0,99.76045891303555,0.001985402450269722,3019.074540400165,-1326.3992656351695,-1446.2311249109298,0.0,0.0,16.630645609136582,0.0,0.0,0.0,0.0,1520.885307639608,841.1310862064174,5035.94154642729,102.19679714042121,2746.994793779751,446.14634914307106,4322.563796500639,2516.5031196123127,19094.81205298803,-285.8355454083575,2159.8394053287566,40765.607972660146,37653.363498
